Erick Sisalema,Factura,SI,ALANGASI,Distrito 10,ALTA,268232.6786,13/10/2023
Pedro Carchi,Servicios,NO,TUMBACO,Distrito 10,MEDIA,276582.7143,9/8/2020
Luis Oquendo,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,284932.75,11/1/2020
Francisco Tello,Administracion,SI,CONOCOTO,Distrito 12,BAJA,293282.7857,11/2/2020
Mercedes Benavides,Latencia,SI,QUITO,Distrito 12,MEDIA,301632.8214,11/3/2020
Erick Sisalema,Medicina,NO,ALANGASI,Distrito 10,ALTA,309982.8571,11/4/2020
Pedro Carchi,Escuela,NO,QUITO,Distrito 10,ALTA,318332.8929,11/5/2020
Luis Oquendo,Nomina,NO,QUITO,Distrito 12,BAJA,326682.9286,15/12/2025
Francisco Tello,Factura,SI,ALANGASI,Distrito 10,ALTA,335032.9643,13/10/2024
Mercedes Benavides,Servicios,NO,TUMBACO,Distrito 10,MEDIA,343383,9/8/2020
Erick Sisalema,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,351733.0357,11/1/2020
Pedro Carchi,Administracion,SI,CONOCOTO,Distrito 12,BAJA,360083.0714,11/2/2020
Luis Oquendo,Latencia,SI,QUITO,Distrito 12,MEDIA,368433.1071,11/3/2020
Francisco Tello,Medicina,NO,ALANGASI,Distrito 10,ALTA,376783.1429,11/4/2020
Mercedes Benavides,Escuela,NO,QUITO,Distrito 10,ALTA,385133.1786,11/5/2020
Erick Sisalema,Nomina,NO,QUITO,Distrito 12,BAJA,393483.2143,15/12/2026
Pedro Carchi,Factura,SI,ALANGASI,Distrito 10,ALTA,401833.25,13/10/2025
Luis Oquendo,Servicios,NO,TUMBACO,Distrito 10,MEDIA,410183.2857,9/8/2020
Francisco Tello,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,418533.3214,11/1/2020
Mercedes Benavides,Administracion,SI,CONOCOTO,Distrito 12,BAJA,426883.3571,11/2/2020
Erick Sisalema,Latencia,SI,QUITO,Distrito 12,MEDIA,435233.3929,11/3/2020
Pedro Carchi,Medicina,NO,ALANGASI,Distrito 10,ALTA,443583.4286,11/4/2020
Luis Oquendo,Escuela,NO,QUITO,Distrito 10,ALTA,451933.4643,11/5/2020
Francisco Tello,Nomina,NO,QUITO,Distrito 12,BAJA,460283.5,15/12/2027
Mercedes Benavides,Factura,SI,ALANGASI,Distrito 10,ALTA,468633.5357,13/10/2026
Erick Sisalema,Servicios,NO,TUMBACO,Distrito 10,MEDIA,476983.5714,9/8/2020
Pedro Carchi,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,485333.6071,11/1/2020
Luis Oquendo,Administracion,SI,CONOCOTO,Distrito 12,BAJA,493683.6429,11/2/2020
Francisco Tello,Latencia,SI,QUITO,Distrito 12,MEDIA,502033.6786,11/3/2020
Mercedes Benavides,Medicina,NO,ALANGASI,Distrito 10,ALTA,510383.7143,11/4/2020
Erick Sisalema,Escuela,NO,QUITO,Distrito 10,ALTA,518733.75,11/5/2020
Pedro Carchi,Nomina,NO,QUITO,Distrito 12,BAJA,527083.7857,15/12/2028
Luis Oquendo,Factura,SI,ALANGASI,Distrito 10,ALTA,535433.8214,13/10/2027
Francisco Tello,Servicios,NO,TUMBACO,Distrito 10,MEDIA,543783.8571,9/8/2020
Mercedes Benavides,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,552133.8929,11/1/2020
Erick Sisalema,Administracion,SI,CONOCOTO,Distrito 12,BAJA,560483.9286,11/2/2020
Pedro Carchi,Latencia,SI,QUITO,Distrito 12,MEDIA,568833.9643,11/3/2020
Luis Oquendo,Medicina,NO,ALANGASI,Distrito 10,ALTA,577184,11/4/2020
Francisco Tello,Escuela,NO,QUITO,Distrito 10,ALTA,585534.0357,11/5/2020
Mercedes Benavides,Nomina,NO,QUITO,Distrito 12,BAJA,593884.0714,15/12/2029
Erick Sisalema,Factura,SI,ALANGASI,Distrito 10,ALTA,602234.1071,13/10/2028
Pedro Carchi,Servicios,NO,TUMBACO,Distrito 10,MEDIA,610584.1429,9/8/2020
Luis Oquendo,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,618934.1786,11/1/2020
Francisco Tello,Administracion,SI,CONOCOTO,Distrito 12,BAJA,627284.2143,11/2/2020
Mercedes Benavides,Latencia,SI,QUITO,Distrito 12,MEDIA,635634.25,11/3/2020
Erick Sisalema,Medicina,NO,ALANGASI,Distrito 10,ALTA,643984.2857,11/4/2020
Pedro Carchi,Escuela,NO,QUITO,Distrito 10,ALTA,652334.3214,11/5/2020
Luis Oquendo,Nomina,NO,QUITO,Distrito 12,BAJA,660684.3571,15/12/2030
Francisco Tello,Factura,SI,ALANGASI,Distrito 10,ALTA,669034.3929,13/10/2029
Mercedes Benavides,Servicios,NO,TUMBACO,Distrito 10,MEDIA,677384.4286,9/8/2020
Erick Sisalema,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,685734.4643,11/1/2020
Pedro Carchi,Administracion,SI,CONOCOTO,Distrito 12,BAJA,694084.5,11/2/2020
Luis Oquendo,Latencia,SI,QUITO,Distrito 12,MEDIA,702434.5357,11/3/2020
Francisco Tello,Medicina,NO,ALANGASI,Distrito 10,ALTA,710784.5714,11/4/2020
Mercedes Benavides,Escuela,NO,QUITO,Distrito 10,ALTA,719134.6071,11/5/2020
Erick Sisalema,Nomina,NO,QUITO,Distrito 12,BAJA,727484.6429,15/12/2031
Pedro Carchi,Factura,SI,ALANGASI,Distrito 10,ALTA,735834.6786,13/10/2030
Luis Oquendo,Servicios,NO,TUMBACO,Distrito 10,MEDIA,744184.7143,9/8/2020
Francisco Tello,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,752534.75,11/1/2020
Mercedes Benavides,Administracion,SI,CONOCOTO,Distrito 12,BAJA,760884.7857,11/2/2020
Erick Sisalema,Latencia,SI,QUITO,Distrito 12,MEDIA,769234.8214,11/3/2020
Pedro Carchi,Medicina,NO,ALANGASI,Distrito 10,ALTA,777584.8571,11/4/2020
Luis Oquendo,Escuela,NO,QUITO,Distrito 10,ALTA,785934.8929,11/5/2020
Francisco Tello,Nomina,NO,QUITO,Distrito 12,BAJA,794284.9286,15/12/2032
Mercedes Benavides,Factura,SI,ALANGASI,Distrito 10,ALTA,802634.9643,13/10/2031
Erick Sisalema,Servicios,NO,TUMBACO,Distrito 10,MEDIA,810985,9/8/2020
Pedro Carchi,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,819335.0357,11/1/2020
Luis Oquendo,Administracion,SI,CONOCOTO,Distrito 12,BAJA,827685.0714,11/2/2020
Francisco Tello,Latencia,SI,QUITO,Distrito 12,MEDIA,836035.1071,11/3/2020
Mercedes Benavides,Medicina,NO,ALANGASI,Distrito 10,ALTA,844385.1429,11/4/2020
Erick Sisalema,Escuela,NO,QUITO,Distrito 10,ALTA,852735.1786,11/5/2020
Pedro Carchi,Nomina,NO,QUITO,Distrito 12,BAJA,861085.2143,15/12/2033
Luis Oquendo,Factura,SI,ALANGASI,Distrito 10,ALTA,869435.25,13/10/2032
Francisco Tello,Servicios,NO,TUMBACO,Distrito 10,MEDIA,877785.2857,9/8/2020
Mercedes Benavides,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,886135.3214,11/1/2020
Erick Sisalema,Administracion,SI,CONOCOTO,Distrito 12,BAJA,894485.3571,11/2/2020
Pedro Carchi,Latencia,SI,QUITO,Distrito 12,MEDIA,902835.3929,11/3/2020
Luis Oquendo,Medicina,NO,ALANGASI,Distrito 10,ALTA,911185.4286,11/4/2020
Francisco Tello,Escuela,NO,QUITO,Distrito 10,ALTA,919535.4643,11/5/2020
Mercedes Benavides,Nomina,NO,QUITO,Distrito 12,BAJA,927885.5,15/12/2034
Erick Sisalema,Factura,SI,ALANGASI,Distrito 10,ALTA,936235.5357,13/10/2033
Pedro Carchi,Servicios,NO,TUMBACO,Distrito 10,MEDIA,944585.5714,9/8/2020
Luis Oquendo,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,952935.6071,11/1/2020
Francisco Tello,Administracion,SI,CONOCOTO,Distrito 12,BAJA,961285.6429,11/2/2020
Mercedes Benavides,Latencia,SI,QUITO,Distrito 12,MEDIA,969635.6786,11/3/2020
Erick Sisalema,Medicina,NO,ALANGASI,Distrito 10,ALTA,977985.7143,11/4/2020
Pedro Carchi,Escuela,NO,QUITO,Distrito 10,ALTA,986335.75,11/5/2020
Luis Oquendo,Nomina,NO,QUITO,Distrito 12,BAJA,994685.7857,15/12/2035
Francisco Tello,Factura,SI,ALANGASI,Distrito 10,ALTA,1003035.821,13/10/2034
Mercedes Benavides,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1011385.857,9/8/2020
Erick Sisalema,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1019735.893,11/1/2020
Pedro Carchi,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1028085.929,11/2/2020
Luis Oquendo,Latencia,SI,QUITO,Distrito 12,MEDIA,1036435.964,11/3/2020
Francisco Tello,Medicina,NO,ALANGASI,Distrito 10,ALTA,1044786,11/4/2020
Mercedes Benavides,Escuela,NO,QUITO,Distrito 10,ALTA,1053136.036,11/5/2020
Erick Sisalema,Nomina,NO,QUITO,Distrito 12,BAJA,1061486.071,15/12/2036
Pedro Carchi,Factura,SI,ALANGASI,Distrito 10,ALTA,1069836.107,13/10/2035
Luis Oquendo,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1078186.143,9/8/2020
Francisco Tello,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1086536.179,11/1/2020
Mercedes Benavides,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1094886.214,11/2/2020
Erick Sisalema,Latencia,SI,QUITO,Distrito 12,MEDIA,1103236.25,11/3/2020
Pedro Carchi,Medicina,NO,ALANGASI,Distrito 10,ALTA,1111586.286,11/4/2020
Luis Oquendo,Escuela,NO,QUITO,Distrito 10,ALTA,1119936.321,11/5/2020
Francisco Tello,Nomina,NO,QUITO,Distrito 12,BAJA,1128286.357,15/12/2037
Mercedes Benavides,Factura,SI,ALANGASI,Distrito 10,ALTA,1136636.393,13/10/2036
Erick Sisalema,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1144986.429,9/8/2020
Pedro Carchi,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1153336.464,11/1/2020
Luis Oquendo,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1161686.5,11/2/2020
Francisco Tello,Latencia,SI,QUITO,Distrito 12,MEDIA,1170036.536,11/3/2020
Mercedes Benavides,Medicina,NO,ALANGASI,Distrito 10,ALTA,1178386.571,11/4/2020
Erick Sisalema,Escuela,NO,QUITO,Distrito 10,ALTA,1186736.607,11/5/2020
Pedro Carchi,Nomina,NO,QUITO,Distrito 12,BAJA,1195086.643,15/12/2038
Luis Oquendo,Factura,SI,ALANGASI,Distrito 10,ALTA,1203436.679,13/10/2037
Francisco Tello,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1211786.714,9/8/2020
Mercedes Benavides,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1220136.75,11/1/2020
Erick Sisalema,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1228486.786,11/2/2020
Pedro Carchi,Latencia,SI,QUITO,Distrito 12,MEDIA,1236836.821,11/3/2020
Luis Oquendo,Medicina,NO,ALANGASI,Distrito 10,ALTA,1245186.857,11/4/2020
Francisco Tello,Escuela,NO,QUITO,Distrito 10,ALTA,1253536.893,11/5/2020
Mercedes Benavides,Nomina,NO,QUITO,Distrito 12,BAJA,1261886.929,15/12/2039
Erick Sisalema,Factura,SI,ALANGASI,Distrito 10,ALTA,1270236.964,13/10/2038
Pedro Carchi,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1278587,9/8/2020
Luis Oquendo,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1286937.036,11/1/2020
Francisco Tello,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1295287.071,11/2/2020
Mercedes Benavides,Latencia,SI,QUITO,Distrito 12,MEDIA,1303637.107,11/3/2020
Erick Sisalema,Medicina,NO,ALANGASI,Distrito 10,ALTA,1311987.143,11/4/2020
Pedro Carchi,Escuela,NO,QUITO,Distrito 10,ALTA,1320337.179,11/5/2020
Luis Oquendo,Nomina,NO,QUITO,Distrito 12,BAJA,1328687.214,15/12/2040
Francisco Tello,Factura,SI,ALANGASI,Distrito 10,ALTA,1337037.25,13/10/2039
Mercedes Benavides,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1345387.286,9/8/2020
Erick Sisalema,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1353737.321,11/1/2020
Pedro Carchi,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1362087.357,11/2/2020
Luis Oquendo,Latencia,SI,QUITO,Distrito 12,MEDIA,1370437.393,11/3/2020
Francisco Tello,Medicina,NO,ALANGASI,Distrito 10,ALTA,1378787.429,11/4/2020
Mercedes Benavides,Escuela,NO,QUITO,Distrito 10,ALTA,1387137.464,11/5/2020
Erick Sisalema,Nomina,NO,QUITO,Distrito 12,BAJA,1395487.5,15/12/2041
Pedro Carchi,Factura,SI,ALANGASI,Distrito 10,ALTA,1403837.536,13/10/2040
Luis Oquendo,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1412187.571,9/8/2020
Francisco Tello,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1420537.607,11/1/2020
Mercedes Benavides,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1428887.643,11/2/2020
Erick Sisalema,Latencia,SI,QUITO,Distrito 12,MEDIA,1437237.679,11/3/2020
Pedro Carchi,Medicina,NO,ALANGASI,Distrito 10,ALTA,1445587.714,11/4/2020
Luis Oquendo,Escuela,NO,QUITO,Distrito 10,ALTA,1453937.75,11/5/2020
Francisco Tello,Nomina,NO,QUITO,Distrito 12,BAJA,1462287.786,15/12/2042
Mercedes Benavides,Factura,SI,ALANGASI,Distrito 10,ALTA,1470637.821,13/10/2041
Erick Sisalema,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1478987.857,9/8/2020
Pedro Carchi,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1487337.893,11/1/2020
Luis Oquendo,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1495687.929,11/2/2020
Francisco Tello,Latencia,SI,QUITO,Distrito 12,MEDIA,1504037.964,11/3/2020
Mercedes Benavides,Medicina,NO,ALANGASI,Distrito 10,ALTA,1512388,11/4/2020
Erick Sisalema,Escuela,NO,QUITO,Distrito 10,ALTA,1520738.036,11/5/2020
Pedro Carchi,Nomina,NO,QUITO,Distrito 12,BAJA,1529088.071,15/12/2043
Luis Oquendo,Factura,SI,ALANGASI,Distrito 10,ALTA,1537438.107,13/10/2042
Francisco Tello,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1545788.143,9/8/2020
Mercedes Benavides,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1554138.179,11/1/2020
Erick Sisalema,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1562488.214,11/2/2020
Pedro Carchi,Latencia,SI,QUITO,Distrito 12,MEDIA,1570838.25,11/3/2020
Luis Oquendo,Medicina,NO,ALANGASI,Distrito 10,ALTA,1579188.286,11/4/2020
Francisco Tello,Escuela,NO,QUITO,Distrito 10,ALTA,1587538.321,11/5/2020
Mercedes Benavides,Nomina,NO,QUITO,Distrito 12,BAJA,1595888.357,15/12/2044
Erick Sisalema,Factura,SI,ALANGASI,Distrito 10,ALTA,1604238.393,13/10/2043
Pedro Carchi,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1612588.429,9/8/2020
Luis Oquendo,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1620938.464,11/1/2020
Francisco Tello,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1629288.5,11/2/2020
Mercedes Benavides,Latencia,SI,QUITO,Distrito 12,MEDIA,1637638.536,11/3/2020
Erick Sisalema,Medicina,NO,ALANGASI,Distrito 10,ALTA,1645988.571,11/4/2020
Pedro Carchi,Escuela,NO,QUITO,Distrito 10,ALTA,1654338.607,11/5/2020
Luis Oquendo,Nomina,NO,QUITO,Distrito 12,BAJA,1662688.643,15/12/2045
Francisco Tello,Factura,SI,ALANGASI,Distrito 10,ALTA,1671038.679,13/10/2044
Mercedes Benavides,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1679388.714,9/8/2020
Erick Sisalema,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1687738.75,11/1/2020
Pedro Carchi,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1696088.786,11/2/2020
Luis Oquendo,Latencia,SI,QUITO,Distrito 12,MEDIA,1704438.821,11/3/2020
Francisco Tello,Medicina,NO,ALANGASI,Distrito 10,ALTA,1712788.857,11/4/2020
Mercedes Benavides,Escuela,NO,QUITO,Distrito 10,ALTA,1721138.893,11/5/2020
Erick Sisalema,Nomina,NO,QUITO,Distrito 12,BAJA,1729488.929,15/12/2046
Pedro Carchi,Factura,SI,ALANGASI,Distrito 10,ALTA,1737838.964,13/10/2045
Luis Oquendo,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1746189,9/8/2020
Francisco Tello,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1754539.036,11/1/2020
Mercedes Benavides,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1762889.071,11/2/2020
Erick Sisalema,Latencia,SI,QUITO,Distrito 12,MEDIA,1771239.107,11/3/2020
Pedro Carchi,Medicina,NO,ALANGASI,Distrito 10,ALTA,1779589.143,11/4/2020
Luis Oquendo,Escuela,NO,QUITO,Distrito 10,ALTA,1787939.179,11/5/2020
Francisco Tello,Nomina,NO,QUITO,Distrito 12,BAJA,1796289.214,15/12/2047
Mercedes Benavides,Factura,SI,ALANGASI,Distrito 10,ALTA,1804639.25,13/10/2046
Erick Sisalema,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1812989.286,9/8/2020
Pedro Carchi,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1821339.321,11/1/2020
Luis Oquendo,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1829689.357,11/2/2020
Francisco Tello,Latencia,SI,QUITO,Distrito 12,MEDIA,1838039.393,11/3/2020
Mercedes Benavides,Medicina,NO,ALANGASI,Distrito 10,ALTA,1846389.429,11/4/2020
Erick Sisalema,Escuela,NO,QUITO,Distrito 10,ALTA,1854739.464,11/5/2020
Pedro Carchi,Nomina,NO,QUITO,Distrito 12,BAJA,1863089.5,15/12/2048
Luis Oquendo,Factura,SI,ALANGASI,Distrito 10,ALTA,1871439.536,13/10/2047
Francisco Tello,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1879789.571,9/8/2020
Mercedes Benavides,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1888139.607,11/1/2020
Erick Sisalema,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1896489.643,11/2/2020
Pedro Carchi,Latencia,SI,QUITO,Distrito 12,MEDIA,1904839.679,11/3/2020
Luis Oquendo,Medicina,NO,ALANGASI,Distrito 10,ALTA,1913189.714,11/4/2020
Francisco Tello,Escuela,NO,QUITO,Distrito 10,ALTA,1921539.75,11/5/2020
Mercedes Benavides,Nomina,NO,QUITO,Distrito 12,BAJA,1929889.786,15/12/2049
Erick Sisalema,Factura,SI,ALANGASI,Distrito 10,ALTA,1938239.821,13/10/2048
Pedro Carchi,Servicios,NO,TUMBACO,Distrito 10,MEDIA,1946589.857,9/8/2020
Luis Oquendo,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,1954939.893,11/1/2020
Francisco Tello,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1963289.929,11/2/2020
Mercedes Benavides,Latencia,SI,QUITO,Distrito 12,MEDIA,1971639.964,11/3/2020
Erick Sisalema,Medicina,NO,ALANGASI,Distrito 10,ALTA,1979990,11/4/2020
Pedro Carchi,Escuela,NO,QUITO,Distrito 10,ALTA,1988340.036,11/5/2020
Luis Oquendo,Nomina,NO,QUITO,Distrito 12,BAJA,1996690.071,15/12/2050
Francisco Tello,Factura,SI,ALANGASI,Distrito 10,ALTA,2005040.107,13/10/2049
Mercedes Benavides,Servicios,NO,TUMBACO,Distrito 10,MEDIA,2013390.143,9/8/2020
Erick Sisalema,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,2021740.179,11/1/2020
Pedro Carchi,Administracion,SI,CONOCOTO,Distrito 12,BAJA,2030090.214,11/2/2020
Luis Oquendo,Latencia,SI,QUITO,Distrito 12,MEDIA,2038440.25,11/3/2020
Francisco Tello,Medicina,NO,ALANGASI,Distrito 10,ALTA,2046790.286,11/4/2020
Mercedes Benavides,Escuela,NO,QUITO,Distrito 10,ALTA,2055140.321,11/5/2020
Erick Sisalema,Nomina,NO,QUITO,Distrito 12,BAJA,2063490.357,15/12/2051
Pedro Carchi,Factura,SI,ALANGASI,Distrito 10,ALTA,2071840.393,13/10/2050
Luis Oquendo,Servicios,NO,TUMBACO,Distrito 10,MEDIA,2080190.429,9/8/2020
Francisco Tello,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,2088540.464,11/1/2020
Mercedes Benavides,Administracion,SI,CONOCOTO,Distrito 12,BAJA,2096890.5,11/2/2020
Erick Sisalema,Latencia,SI,QUITO,Distrito 12,MEDIA,2105240.536,11/3/2020
Pedro Carchi,Medicina,NO,ALANGASI,Distrito 10,ALTA,2113590.571,11/4/2020
Luis Oquendo,Escuela,NO,QUITO,Distrito 10,ALTA,2121940.607,11/5/2020
Francisco Tello,Nomina,NO,QUITO,Distrito 12,BAJA,2130290.643,15/12/2052
Mercedes Benavides,Factura,SI,ALANGASI,Distrito 10,ALTA,2138640.679,13/10/2051
Erick Sisalema,Servicios,NO,TUMBACO,Distrito 10,MEDIA,2146990.714,9/8/2020
Pedro Carchi,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,2155340.75,11/1/2020
Luis Oquendo,Administracion,SI,CONOCOTO,Distrito 12,BAJA,2163690.786,11/2/2020
Francisco Tello,Latencia,SI,QUITO,Distrito 12,MEDIA,2172040.821,11/3/2020
Mercedes Benavides,Medicina,NO,ALANGASI,Distrito 10,ALTA,2180390.857,11/4/2020
Erick Sisalema,Escuela,NO,QUITO,Distrito 10,ALTA,2188740.893,11/5/2020
Pedro Carchi,Nomina,NO,QUITO,Distrito 12,BAJA,2197090.929,15/12/2053
Luis Oquendo,Factura,SI,ALANGASI,Distrito 10,ALTA,2205440.964,13/10/2052
Francisco Tello,Servicios,NO,TUMBACO,Distrito 10,MEDIA,2213791,9/8/2020
Mercedes Benavides,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,2222141.036,11/1/2020
Erick Sisalema,Administracion,SI,CONOCOTO,Distrito 12,BAJA,2230491.071,11/2/2020
Pedro Carchi,Latencia,SI,QUITO,Distrito 12,MEDIA,2238841.107,11/3/2020
Luis Oquendo,Medicina,NO,ALANGASI,Distrito 10,ALTA,2247191.143,11/4/2020
Francisco Tello,Escuela,NO,QUITO,Distrito 10,ALTA,2255541.179,11/5/2020
Mercedes Benavides,Nomina,NO,QUITO,Distrito 12,BAJA,2263891.214,15/12/2054
Erick Sisalema,Factura,SI,ALANGASI,Distrito 10,ALTA,2272241.25,13/10/2053
Pedro Carchi,Servicios,NO,TUMBACO,Distrito 10,MEDIA,2280591.286,9/8/2020
Luis Oquendo,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,2288941.321,11/1/2020
Francisco Tello,Administracion,SI,CONOCOTO,Distrito 12,BAJA,2297291.357,11/2/2020
Mercedes Benavides,Latencia,SI,QUITO,Distrito 12,MEDIA,2305641.393,11/3/2020
Erick Sisalema,Medicina,NO,ALANGASI,Distrito 10,ALTA,2313991.429,11/4/2020
Pedro Carchi,Escuela,NO,QUITO,Distrito 10,ALTA,2322341.464,11/5/2020
Luis Oquendo,Nomina,NO,QUITO,Distrito 12,BAJA,2330691.5,15/12/2055
Francisco Tello,Factura,SI,ALANGASI,Distrito 10,ALTA,2339041.536,13/10/2054
Mercedes Benavides,Servicios,NO,TUMBACO,Distrito 10,MEDIA,2347391.571,9/8/2020
Erick Sisalema,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,2355741.607,11/1/2020
Pedro Carchi,Administracion,SI,CONOCOTO,Distrito 12,BAJA,2364091.643,11/2/2020
Luis Oquendo,Latencia,SI,QUITO,Distrito 12,MEDIA,2372441.679,11/3/2020
Francisco Tello,Medicina,NO,ALANGASI,Distrito 10,ALTA,2380791.714,11/4/2020
Mercedes Benavides,Escuela,NO,QUITO,Distrito 10,ALTA,2389141.75,11/5/2020
